ticket_id,product,category,issue_description,resolution_notes,ticket_created_date,clean_text,sentiment,topic
21,Billing System,Security Concern,I am unable to access my account after entering the correct credentials.,Bug logged internally and workaround shared with the customer.,2022-09-19,unable access account entering correct credentials bug logged internally workaround shared customer,negative,96
22,Subscription Service,Payment Problem,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,2023-04-05,unable access account entering correct credentials reset account credentials advised customer retry login,negative,99
23,Subscription Service,Bug Report,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,2024-02-08,payment deducted bank account transaction shows failed explained billing breakdown clarified applicable charges,negative,41
24,Cloud Storage,Feature Request,I found a bug in the latest update affecting report generation.,Data synchronization restored after backend service restart.,2024-12-04,found bug latest update affecting report generation data synchronization restored backend service restart,positive,30
25,Web Portal,Login Issue,The system is not syncing data across devices properly.,Subscription status corrected and confirmation email sent to customer.,2023-07-20,system syncing data across devices properly subscription status corrected confirmation email sent customer,neutral,48
26,Analytics Dashboard,Subscription Cancellation,I am experiencing very slow performance while using the dashboard.,Provided step-by-step troubleshooting instructions and issue resolved.,2023-11-09,experiencing slow performance using dashboard provided stepbystep troubleshooting instructions issue resolved,negative,14
27,Web Portal,Feature Request,My subscription was cancelled without my request and I need clarification.,Payment gateway timeout issue fixed and monitoring implemented.,2022-04-22,subscription cancelled without request need clarification payment gateway timeout issue fixed monitoring implemented,neutral,75
28,Billing System,Refund Request,I found a bug in the latest update affecting report generation.,Explained billing breakdown and clarified applicable charges.,2022-08-31,found bug latest update affecting report generation explained billing breakdown clarified applicable charges,positive,28
29,Mobile App,Data Sync Issue,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-07-11,would like request refund recent charge provided stepbystep troubleshooting instructions issue resolved,neutral,25
30,E-commerce Store,Payment Problem,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,2023-08-15,would like request refund recent charge provided stepbystep troubleshooting instructions issue resolved,neutral,25
31,CRM Platform,Subscription Cancellation,The payment was deducted from my bank account but the transaction shows failed.,Payment gateway timeout issue fixed and monitoring implemented.,2024-06-11,payment deducted bank account transaction shows failed payment gateway timeout issue fixed monitoring implemented,negative,87
32,Cloud Storage,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Explained billing breakdown and clarified applicable charges.,2022-04-22,seems discrepancy billing statement month explained billing breakdown clarified applicable charges,neutral,61
33,E-commerce Store,Feature Request,The system is not syncing data across devices properly.,Provided step-by-step troubleshooting instructions and issue resolved.,2022-11-12,system syncing data across devices properly provided stepbystep troubleshooting instructions issue resolved,neutral,68
34,Cloud Storage,Account Suspension,I would like to request a refund for the recent charge.,Data synchronization restored after backend service restart.,2024-09-29,would like request refund recent charge data synchronization restored backend service restart,neutral,21
35,API Service,Payment Problem,I would like to request a refund for the recent charge.,The duplicate charge was reversed and refund processed within 3-5 business days.,2023-11-11,would like request refund recent charge duplicate charge reversed refund processed within 35 business days,neutral,19
36,Web Portal,Payment Problem,Two-factor authentication codes are not being delivered to my phone.,The duplicate charge was reversed and refund processed within 3-5 business days.,2023-08-12,twofactor authentication codes delivered phone duplicate charge reversed refund processed within 35 business days,neutral,17
37,Analytics Dashboard,Subscription Cancellation,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,2022-10-21,experiencing slow performance using dashboard payment gateway timeout issue fixed monitoring implemented,negative,54
38,Billing System,Refund Request,I am experiencing very slow performance while using the dashboard.,We have reset the account credentials and advised the customer to retry login.,2023-08-28,experiencing slow performance using dashboard reset account credentials advised customer retry login,negative,81
39,API Service,Account Suspension,The system is not syncing data across devices properly.,Security settings updated and customer notified of precautionary measures.,2022-12-26,system syncing data across devices properly security settings updated customer notified precautionary measures,neutral,36
40,Subscription Service,Refund Request,There seems to be a discrepancy in my billing statement for this month.,The duplicate charge was reversed and refund processed within 3-5 business days.,2023-06-21,seems discrepancy billing statement month duplicate charge reversed refund processed within 35 business days,neutral,18
41,Payment Gateway,Security Concern,Two-factor authentication codes are not being delivered to my phone.,Explained billing breakdown and clarified applicable charges.,2024-07-18,twofactor authentication codes delivered phone explained billing breakdown clarified applicable charges,neutral,57
42,CRM Platform,Data Sync Issue,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,2023-03-11,unable access account entering correct credentials reset account credentials advised customer retry login,negative,99
43,Analytics Dashboard,Performance Issue,I am unable to access my account after entering the correct credentials.,The issue was escalated to engineering and resolved in the latest patch.,2023-05-03,unable access account entering correct credentials issue escalated engineering resolved latest patch,negative,69
44,CRM Platform,Subscription Cancellation,The payment was deducted from my bank account but the transaction shows failed.,The duplicate charge was reversed and refund processed within 3-5 business days.,2024-10-01,payment deducted bank account transaction shows failed duplicate charge reversed refund processed within 35 business days,negative,4
45,CRM Platform,Refund Request,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,2022-07-14,seems discrepancy billing statement month provided stepbystep troubleshooting instructions issue resolved,neutral,6
46,Web Portal,Account Suspension,I would like to request a refund for the recent charge.,Subscription status corrected and confirmation email sent to customer.,2024-11-05,would like request refund recent charge subscription status corrected confirmation email sent customer,neutral,92
47,API Service,Account Suspension,I am unable to access my account after entering the correct credentials.,The duplicate charge was reversed and refund processed within 3-5 business days.,2024-03-31,unable access account entering correct credentials duplicate charge reversed refund processed within 35 business days,negative,11
48,E-commerce Store,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,Security settings updated and customer notified of precautionary measures.,2023-03-18,payment deducted bank account transaction shows failed security settings updated customer notified precautionary measures,negative,71
49,CRM Platform,Bug Report,The system is not syncing data across devices properly.,Data synchronization restored after backend service restart.,2024-02-18,system syncing data across devices properly data synchronization restored backend service restart,neutral,60
50,Web Portal,Data Sync Issue,Two-factor authentication codes are not being delivered to my phone.,Data synchronization restored after backend service restart.,2023-05-14,twofactor authentication codes delivered phone data synchronization restored backend service restart,neutral,16
51,Billing System,Subscription Cancellation,I would like to request a refund for the recent charge.,Explained billing breakdown and clarified applicable charges.,2022-06-04,would like request refund recent charge explained billing breakdown clarified applicable charges,neutral,64
52,API Service,Payment Problem,I found a bug in the latest update affecting report generation.,Explained billing breakdown and clarified applicable charges.,2022-06-07,found bug latest update affecting report generation explained billing breakdown clarified applicable charges,positive,28
53,Payment Gateway,Security Concern,The system is not syncing data across devices properly.,Explained billing breakdown and clarified applicable charges.,2024-06-15,system syncing data across devices properly explained billing breakdown clarified applicable charges,neutral,38
54,API Service,Data Sync Issue,The payment was deducted from my bank account but the transaction shows failed.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-03-13,payment deducted bank account transaction shows failed provided stepbystep troubleshooting instructions issue resolved,negative,90
55,Billing System,Performance Issue,I found a bug in the latest update affecting report generation.,The issue was escalated to engineering and resolved in the latest patch.,2024-12-14,found bug latest update affecting report generation issue escalated engineering resolved latest patch,positive,46
56,API Service,Feature Request,Two-factor authentication codes are not being delivered to my phone.,Data synchronization restored after backend service restart.,2024-06-21,twofactor authentication codes delivered phone data synchronization restored backend service restart,neutral,16
57,CRM Platform,Login Issue,Two-factor authentication codes are not being delivered to my phone.,Data synchronization restored after backend service restart.,2022-02-24,twofactor authentication codes delivered phone data synchronization restored backend service restart,neutral,16
58,Analytics Dashboard,Payment Problem,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,2024-12-16,experiencing slow performance using dashboard subscription status corrected confirmation email sent customer,negative,79
59,API Service,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,2022-06-25,payment deducted bank account transaction shows failed data synchronization restored backend service restart,negative,40
60,Subscription Service,Subscription Cancellation,I am unable to access my account after entering the correct credentials.,Provided step-by-step troubleshooting instructions and issue resolved.,2022-10-04,unable access account entering correct credentials provided stepbystep troubleshooting instructions issue resolved,negative,70
61,API Service,Subscription Cancellation,I would like to request a refund for the recent charge.,Security settings updated and customer notified of precautionary measures.,2023-11-26,would like request refund recent charge security settings updated customer notified precautionary measures,neutral,84
62,CRM Platform,Login Issue,The payment was deducted from my bank account but the transaction shows failed.,Bug logged internally and workaround shared with the customer.,2023-07-17,payment deducted bank account transaction shows failed bug logged internally workaround shared customer,negative,97
63,Mobile App,Feature Request,The application crashes whenever I try to upload a file.,The duplicate charge was reversed and refund processed within 3-5 business days.,2024-03-26,application crashes whenever try upload file duplicate charge reversed refund processed within 35 business days,neutral,5
64,CRM Platform,Feature Request,My subscription was cancelled without my request and I need clarification.,The issue was escalated to engineering and resolved in the latest patch.,2023-08-18,subscription cancelled without request need clarification issue escalated engineering resolved latest patch,neutral,23
65,API Service,Payment Problem,I would like to request a refund for the recent charge.,Payment gateway timeout issue fixed and monitoring implemented.,2023-10-12,would like request refund recent charge payment gateway timeout issue fixed monitoring implemented,neutral,74
66,Payment Gateway,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,2023-09-13,payment deducted bank account transaction shows failed data synchronization restored backend service restart,negative,40
67,Web Portal,Refund Request,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,2024-09-16,experiencing slow performance using dashboard payment gateway timeout issue fixed monitoring implemented,negative,54
68,E-commerce Store,Payment Problem,I am unable to access my account after entering the correct credentials.,Provided step-by-step troubleshooting instructions and issue resolved.,2023-05-23,unable access account entering correct credentials provided stepbystep troubleshooting instructions issue resolved,negative,70
69,API Service,Data Sync Issue,I would like to request a refund for the recent charge.,Provided step-by-step troubleshooting instructions and issue resolved.,2023-07-31,would like request refund recent charge provided stepbystep troubleshooting instructions issue resolved,neutral,25
70,CRM Platform,Performance Issue,There seems to be a discrepancy in my billing statement for this month.,Data synchronization restored after backend service restart.,2022-07-18,seems discrepancy billing statement month data synchronization restored backend service restart,neutral,31
71,Billing System,Security Concern,The system is not syncing data across devices properly.,Payment gateway timeout issue fixed and monitoring implemented.,2024-11-04,system syncing data across devices properly payment gateway timeout issue fixed monitoring implemented,neutral,63
72,Web Portal,Bug Report,I am unable to access my account after entering the correct credentials.,Explained billing breakdown and clarified applicable charges.,2024-02-18,unable access account entering correct credentials explained billing breakdown clarified applicable charges,negative,45
73,CRM Platform,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Data synchronization restored after backend service restart.,2024-07-30,seems discrepancy billing statement month data synchronization restored backend service restart,neutral,31
74,Analytics Dashboard,Account Suspension,I am experiencing very slow performance while using the dashboard.,We have reset the account credentials and advised the customer to retry login.,2023-12-08,experiencing slow performance using dashboard reset account credentials advised customer retry login,negative,81
75,Web Portal,Refund Request,There seems to be a discrepancy in my billing statement for this month.,Payment gateway timeout issue fixed and monitoring implemented.,2022-04-18,seems discrepancy billing statement month payment gateway timeout issue fixed monitoring implemented,neutral,66
76,Analytics Dashboard,Feature Request,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,2024-10-11,unable access account entering correct credentials reset account credentials advised customer retry login,negative,99
77,API Service,Data Sync Issue,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,2023-01-31,twofactor authentication codes delivered phone bug logged internally workaround shared customer,neutral,1
78,API Service,Feature Request,My subscription was cancelled without my request and I need clarification.,Bug logged internally and workaround shared with the customer.,2022-08-31,subscription cancelled without request need clarification bug logged internally workaround shared customer,neutral,55
79,Web Portal,Performance Issue,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,2024-12-17,payment deducted bank account transaction shows failed explained billing breakdown clarified applicable charges,negative,41
80,Analytics Dashboard,Feature Request,I am unable to access my account after entering the correct credentials.,Bug logged internally and workaround shared with the customer.,2024-08-04,unable access account entering correct credentials bug logged internally workaround shared customer,negative,96
81,Web Portal,Security Concern,My subscription was cancelled without my request and I need clarification.,Security settings updated and customer notified of precautionary measures.,2024-02-09,subscription cancelled without request need clarification security settings updated customer notified precautionary measures,neutral,85
82,Web Portal,Login Issue,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,2024-05-08,application crashes whenever try upload file subscription status corrected confirmation email sent customer,neutral,43
83,Mobile App,Refund Request,I am experiencing very slow performance while using the dashboard.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-12-03,experiencing slow performance using dashboard provided stepbystep troubleshooting instructions issue resolved,negative,14
84,E-commerce Store,Security Concern,The system is not syncing data across devices properly.,The issue was escalated to engineering and resolved in the latest patch.,2024-04-25,system syncing data across devices properly issue escalated engineering resolved latest patch,neutral,67
85,Web Portal,Login Issue,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,2023-11-13,application crashes whenever try upload file subscription status corrected confirmation email sent customer,neutral,43
86,Subscription Service,Refund Request,I am unable to access my account after entering the correct credentials.,Explained billing breakdown and clarified applicable charges.,2024-01-30,unable access account entering correct credentials explained billing breakdown clarified applicable charges,negative,45
87,Mobile App,Security Concern,I am unable to access my account after entering the correct credentials.,Data synchronization restored after backend service restart.,2024-09-27,unable access account entering correct credentials data synchronization restored backend service restart,negative,27
88,Web Portal,Refund Request,My subscription was cancelled without my request and I need clarification.,The duplicate charge was reversed and refund processed within 3-5 business days.,2022-02-05,subscription cancelled without request need clarification duplicate charge reversed refund processed within 35 business days,neutral,20
89,E-commerce Store,Account Suspension,The payment was deducted from my bank account but the transaction shows failed.,Payment gateway timeout issue fixed and monitoring implemented.,2022-01-20,payment deducted bank account transaction shows failed payment gateway timeout issue fixed monitoring implemented,negative,87
90,Payment Gateway,Security Concern,There seems to be a discrepancy in my billing statement for this month.,Bug logged internally and workaround shared with the customer.,2024-03-07,seems discrepancy billing statement month bug logged internally workaround shared customer,neutral,0
91,Web Portal,Data Sync Issue,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,2024-02-18,experiencing slow performance using dashboard subscription status corrected confirmation email sent customer,negative,79
92,API Service,Login Issue,The payment was deducted from my bank account but the transaction shows failed.,Security settings updated and customer notified of precautionary measures.,2024-04-15,payment deducted bank account transaction shows failed security settings updated customer notified precautionary measures,negative,71
93,CRM Platform,Feature Request,I would like to request a refund for the recent charge.,The duplicate charge was reversed and refund processed within 3-5 business days.,2023-07-20,would like request refund recent charge duplicate charge reversed refund processed within 35 business days,neutral,19
94,Billing System,Performance Issue,I am experiencing very slow performance while using the dashboard.,Payment gateway timeout issue fixed and monitoring implemented.,2022-12-30,experiencing slow performance using dashboard payment gateway timeout issue fixed monitoring implemented,negative,54
95,Web Portal,Account Suspension,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,2023-05-11,twofactor authentication codes delivered phone bug logged internally workaround shared customer,neutral,1
96,API Service,Payment Problem,I am experiencing very slow performance while using the dashboard.,Subscription status corrected and confirmation email sent to customer.,2022-08-05,experiencing slow performance using dashboard subscription status corrected confirmation email sent customer,negative,79
97,Analytics Dashboard,Subscription Cancellation,There seems to be a discrepancy in my billing statement for this month.,The duplicate charge was reversed and refund processed within 3-5 business days.,2024-06-16,seems discrepancy billing statement month duplicate charge reversed refund processed within 35 business days,neutral,18
98,Analytics Dashboard,Login Issue,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,2024-05-29,application crashes whenever try upload file subscription status corrected confirmation email sent customer,neutral,43
99,Payment Gateway,Data Sync Issue,I found a bug in the latest update affecting report generation.,The duplicate charge was reversed and refund processed within 3-5 business days.,2023-09-02,found bug latest update affecting report generation duplicate charge reversed refund processed within 35 business days,positive,2
100,CRM Platform,Subscription Cancellation,I found a bug in the latest update affecting report generation.,We have reset the account credentials and advised the customer to retry login.,2023-10-07,found bug latest update affecting report generation reset account credentials advised customer retry login,positive,35
101,Web Portal,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,Explained billing breakdown and clarified applicable charges.,2024-10-11,payment deducted bank account transaction shows failed explained billing breakdown clarified applicable charges,negative,41
102,Billing System,Data Sync Issue,Two-factor authentication codes are not being delivered to my phone.,The issue was escalated to engineering and resolved in the latest patch.,2023-12-20,twofactor authentication codes delivered phone issue escalated engineering resolved latest patch,neutral,9
103,Payment Gateway,Bug Report,Two-factor authentication codes are not being delivered to my phone.,Payment gateway timeout issue fixed and monitoring implemented.,2023-10-22,twofactor authentication codes delivered phone payment gateway timeout issue fixed monitoring implemented,neutral,62
104,Analytics Dashboard,Refund Request,The application crashes whenever I try to upload a file.,Payment gateway timeout issue fixed and monitoring implemented.,2024-03-25,application crashes whenever try upload file payment gateway timeout issue fixed monitoring implemented,neutral,44
105,CRM Platform,Performance Issue,I am experiencing very slow performance while using the dashboard.,The duplicate charge was reversed and refund processed within 3-5 business days.,2022-07-11,experiencing slow performance using dashboard duplicate charge reversed refund processed within 35 business days,negative,15
106,Web Portal,Payment Problem,The application crashes whenever I try to upload a file.,Bug logged internally and workaround shared with the customer.,2022-09-28,application crashes whenever try upload file bug logged internally workaround shared customer,neutral,50
107,Subscription Service,Refund Request,There seems to be a discrepancy in my billing statement for this month.,The issue was escalated to engineering and resolved in the latest patch.,2024-02-26,seems discrepancy billing statement month issue escalated engineering resolved latest patch,neutral,7
108,Billing System,Performance Issue,My subscription was cancelled without my request and I need clarification.,Bug logged internally and workaround shared with the customer.,2022-01-25,subscription cancelled without request need clarification bug logged internally workaround shared customer,neutral,55
109,Subscription Service,Feature Request,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,2023-07-23,payment deducted bank account transaction shows failed data synchronization restored backend service restart,negative,40
110,Analytics Dashboard,Performance Issue,The system is not syncing data across devices properly.,Data synchronization restored after backend service restart.,2022-12-02,system syncing data across devices properly data synchronization restored backend service restart,neutral,60
111,Subscription Service,Payment Problem,I found a bug in the latest update affecting report generation.,The duplicate charge was reversed and refund processed within 3-5 business days.,2023-06-07,found bug latest update affecting report generation duplicate charge reversed refund processed within 35 business days,positive,2
112,E-commerce Store,Bug Report,The system is not syncing data across devices properly.,We have reset the account credentials and advised the customer to retry login.,2022-04-18,system syncing data across devices properly reset account credentials advised customer retry login,neutral,58
113,E-commerce Store,Login Issue,There seems to be a discrepancy in my billing statement for this month.,We have reset the account credentials and advised the customer to retry login.,2023-12-11,seems discrepancy billing statement month reset account credentials advised customer retry login,neutral,93
114,E-commerce Store,Feature Request,I am experiencing very slow performance while using the dashboard.,Security settings updated and customer notified of precautionary measures.,2022-09-25,experiencing slow performance using dashboard security settings updated customer notified precautionary measures,negative,73
115,Subscription Service,Feature Request,I found a bug in the latest update affecting report generation.,We have reset the account credentials and advised the customer to retry login.,2022-07-05,found bug latest update affecting report generation reset account credentials advised customer retry login,positive,35
116,Web Portal,Bug Report,Two-factor authentication codes are not being delivered to my phone.,Security settings updated and customer notified of precautionary measures.,2023-04-01,twofactor authentication codes delivered phone security settings updated customer notified precautionary measures,neutral,78
117,Analytics Dashboard,Bug Report,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,2022-12-20,subscription cancelled without request need clarification provided stepbystep troubleshooting instructions issue resolved,neutral,24
118,Billing System,Security Concern,I would like to request a refund for the recent charge.,Security settings updated and customer notified of precautionary measures.,2024-01-06,would like request refund recent charge security settings updated customer notified precautionary measures,neutral,84
119,Billing System,Account Suspension,My subscription was cancelled without my request and I need clarification.,Subscription status corrected and confirmation email sent to customer.,2023-12-28,subscription cancelled without request need clarification subscription status corrected confirmation email sent customer,neutral,91
120,CRM Platform,Data Sync Issue,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,2022-01-02,application crashes whenever try upload file issue escalated engineering resolved latest patch,neutral,51
121,Subscription Service,Security Concern,I found a bug in the latest update affecting report generation.,Security settings updated and customer notified of precautionary measures.,2022-12-23,found bug latest update affecting report generation security settings updated customer notified precautionary measures,positive,32
122,Mobile App,Payment Problem,There seems to be a discrepancy in my billing statement for this month.,Payment gateway timeout issue fixed and monitoring implemented.,2023-10-17,seems discrepancy billing statement month payment gateway timeout issue fixed monitoring implemented,neutral,66
123,CRM Platform,Login Issue,I am experiencing very slow performance while using the dashboard.,We have reset the account credentials and advised the customer to retry login.,2022-05-31,experiencing slow performance using dashboard reset account credentials advised customer retry login,negative,81
124,Analytics Dashboard,Security Concern,The system is not syncing data across devices properly.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-04-18,system syncing data across devices properly provided stepbystep troubleshooting instructions issue resolved,neutral,68
125,E-commerce Store,Feature Request,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,2024-08-22,payment deducted bank account transaction shows failed data synchronization restored backend service restart,negative,40
126,Subscription Service,Security Concern,I would like to request a refund for the recent charge.,Explained billing breakdown and clarified applicable charges.,2024-12-06,would like request refund recent charge explained billing breakdown clarified applicable charges,neutral,64
127,CRM Platform,Account Suspension,I found a bug in the latest update affecting report generation.,Provided step-by-step troubleshooting instructions and issue resolved.,2023-02-18,found bug latest update affecting report generation provided stepbystep troubleshooting instructions issue resolved,positive,47
128,Cloud Storage,Refund Request,I am experiencing very slow performance while using the dashboard.,Bug logged internally and workaround shared with the customer.,2023-12-06,experiencing slow performance using dashboard bug logged internally workaround shared customer,negative,3
129,Billing System,Performance Issue,I am experiencing very slow performance while using the dashboard.,Bug logged internally and workaround shared with the customer.,2024-06-26,experiencing slow performance using dashboard bug logged internally workaround shared customer,negative,3
130,CRM Platform,Performance Issue,The application crashes whenever I try to upload a file.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-07-23,application crashes whenever try upload file provided stepbystep troubleshooting instructions issue resolved,neutral,52
131,Analytics Dashboard,Bug Report,The application crashes whenever I try to upload a file.,Subscription status corrected and confirmation email sent to customer.,2023-03-15,application crashes whenever try upload file subscription status corrected confirmation email sent customer,neutral,43
132,CRM Platform,Payment Problem,I am unable to access my account after entering the correct credentials.,Data synchronization restored after backend service restart.,2024-03-24,unable access account entering correct credentials data synchronization restored backend service restart,negative,27
133,Mobile App,Refund Request,Two-factor authentication codes are not being delivered to my phone.,Bug logged internally and workaround shared with the customer.,2023-08-29,twofactor authentication codes delivered phone bug logged internally workaround shared customer,neutral,1
134,CRM Platform,Feature Request,Two-factor authentication codes are not being delivered to my phone.,Security settings updated and customer notified of precautionary measures.,2023-04-03,twofactor authentication codes delivered phone security settings updated customer notified precautionary measures,neutral,78
135,Payment Gateway,Subscription Cancellation,My subscription was cancelled without my request and I need clarification.,Security settings updated and customer notified of precautionary measures.,2024-04-18,subscription cancelled without request need clarification security settings updated customer notified precautionary measures,neutral,85
136,API Service,Performance Issue,I am unable to access my account after entering the correct credentials.,Security settings updated and customer notified of precautionary measures.,2024-12-29,unable access account entering correct credentials security settings updated customer notified precautionary measures,negative,72
137,Payment Gateway,Subscription Cancellation,There seems to be a discrepancy in my billing statement for this month.,Subscription status corrected and confirmation email sent to customer.,2022-10-02,seems discrepancy billing statement month subscription status corrected confirmation email sent customer,neutral,88
138,Analytics Dashboard,Refund Request,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,2024-05-03,payment deducted bank account transaction shows failed data synchronization restored backend service restart,negative,40
139,E-commerce Store,Security Concern,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,2023-06-23,application crashes whenever try upload file security settings updated customer notified precautionary measures,neutral,37
140,Analytics Dashboard,Payment Problem,My subscription was cancelled without my request and I need clarification.,We have reset the account credentials and advised the customer to retry login.,2024-08-08,subscription cancelled without request need clarification reset account credentials advised customer retry login,neutral,95
141,Mobile App,Account Suspension,The payment was deducted from my bank account but the transaction shows failed.,The issue was escalated to engineering and resolved in the latest patch.,2024-05-13,payment deducted bank account transaction shows failed issue escalated engineering resolved latest patch,negative,89
